200.0 0.118 6.0
205.0 0.118 4.3
210.0 0.118 3.9
215.0 0.120 3.7
220.0 0.122 1.2
225.0 0.123 1.2
230.0 0.127 1.3
235.0 0.134 1.2
240.0 0.134 1.2
245.0 0.130 1.2
250.0 0.125 1.3
255.0 0.119 1.2
260.0 0.113 1.2
265.0 0.108 1.1
270.0 0.103 1.1
275.0 0.102 1.1
280.0 0.105 1.1
285.0 0.111 1.2
290.0 0.118 1.1
295.0 0.127 1.1
300.0 0.134 1.1
305.0 0.138 1.1
310.0 0.141 1.0
315.0 0.144 1.0
320.0 0.146 1.1
325.0 0.148 1.1
330.0 0.150 1.1
335.0 0.151 1.1
340.0 0.153 1.1
345.0 0.153 1.1
350.0 0.152 0.6
355.0 0.151 0.5
360.0 0.149 0.5
365.0 0.148 0.5
370.0 0.149 0.5
375.0 0.154 0.5
380.0 0.160 0.5
385.0 0.167 0.4
390.0 0.173 0.4
395.0 0.179 0.4
400.0 0.184 0.4
405.0 0.189 0.4
410.0 0.193 0.3
415.0 0.197 0.3
420.0 0.202 0.3
425.0 0.205 0.3
430.0 0.209 0.3
435.0 0.213 0.3
440.0 0.217 0.3
445.0 0.220 0.3
450.0 0.224 0.2
455.0 0.227 0.2
460.0 0.231 0.2
465.0 0.234 0.2
470.0 0.237 0.2
475.0 0.240 0.2
480.0 0.243 0.2
485.0 0.247 0.2
490.0 0.250 0.2
495.0 0.253 0.2
500.0 0.256 0.2
505.0 0.259 0.2
510.0 0.262 0.2
515.0 0.265 0.2
520.0 0.268 0.2
525.0 0.271 0.2
530.0 0.274 0.2
535.0 0.277 0.2
540.0 0.280 0.2
545.0 0.283 0.2
550.0 0.286 0.2
555.0 0.289 0.2
560.0 0.292 0.2
565.0 0.295 0.2
570.0 0.298 0.2
575.0 0.300 0.2
580.0 0.303 0.2
585.0 0.306 0.2
590.0 0.309 0.2
595.0 0.312 0.2
600.0 0.315 0.2
605.0 0.318 0.2
610.0 0.321 0.2
615.0 0.323 0.2
620.0 0.326 0.2
625.0 0.329 0.2
630.0 0.332 0.2
635.0 0.335 0.2
640.0 0.337 0.2
645.0 0.340 0.2
650.0 0.343 0.2
655.0 0.346 0.2
660.0 0.349 0.2
665.0 0.351 0.2
670.0 0.354 0.2
675.0 0.357 0.2
680.0 0.360 0.2
685.0 0.363 0.2
690.0 0.365 0.2
695.0 0.368 0.2
700.0 0.371 0.2
705.0 0.374 0.2
710.0 0.376 0.2
715.0 0.379 0.2
720.0 0.382 0.2
725.0 0.385 0.2
730.0 0.388 0.2
735.0 0.390 0.2
740.0 0.393 0.2
745.0 0.396 0.2
750.0 0.399 0.2
755.0 0.401 0.2
760.0 0.404 0.2
765.0 0.407 0.2
770.0 0.410 0.2
775.0 0.412 0.2
780.0 0.415 0.2
785.0 0.418 0.2
790.0 0.421 0.2
795.0 0.423 0.2
800.0 0.426 0.2
805.0 0.429 0.2
810.0 0.432 0.2
815.0 0.434 0.2
820.0 0.437 0.2
825.0 0.440 0.2
830.0 0.443 0.2
835.0 0.445 0.2
840.0 0.448 0.2
845.0 0.451 0.2
850.0 0.454 0.2
855.0 0.456 0.2
860.0 0.459 0.2
865.0 0.462 0.2
870.0 0.464 0.2
875.0 0.467 0.2
880.0 0.470 0.2
885.0 0.473 0.2
890.0 0.475 0.2
895.0 0.478 0.2
900.0 0.481 0.2
905.0 0.483 0.2
910.0 0.486 0.2
915.0 0.489 0.2
920.0 0.491 0.2
925.0 0.494 0.2
930.0 0.497 0.2
935.0 0.499 0.2
940.0 0.501 0.2
945.0 0.503 0.2
950.0 0.505 0.2
955.0 0.508 0.7
960.0 0.509 0.7
965.0 0.511 0.8
970.0 0.511 0.8
975.0 0.510 0.9
980.0 0.509 0.9
985.0 0.507 1.0
990.0 0.504 1.0
995.0 0.499 1.1
1000.0 0.493 1.2
1005.0 0.486 1.2
1010.0 0.476 1.3
1015.0 0.465 1.4
1020.0 0.451 1.4
1025.0 0.436 1.5
1030.0 0.418 1.6
1035.0 0.397 1.7
1040.0 0.375 1.8
1045.0 0.352 1.9
1050.0 0.326 2.0
1055.0 0.300 2.1
1060.0 0.272 2.2
1065.0 0.247 2.3
1070.0 0.227 2.4
1075.0 0.209 2.5
1080.0 0.192 2.6
1085.0 0.175 2.7
1090.0 0.160 2.8
1095.0 0.145 2.9
1100.0 0.130 2.9
