Wavelength (nm)	Intensity	Corrected
Unusable	47598
Dark	46983
Dark	47010
Dark	46998
Bevel	46823
Bevel	47244
Bevel	47247
Bevel	47415
Bevel	47476
Bevel	47537
338.47	48025	48014.8
338.99	47919	47908.2
339.51	47747	47735.4
340.04	47822	47810.8
340.56	47719	47707.3
341.08	47887	47876.1
341.61	47436	47423.0
342.13	47775	47763.5
342.65	47981	47970.6
343.18	47753	47741.4
343.70	48075	48065.1
344.22	47843	47831.9
344.75	47926	47915.3
345.27	47974	47963.5
345.79	47787	47775.6
346.31	47747	47735.4
346.84	47595	47582.7
347.36	47802	47790.7
347.88	47713	47701.2
348.40	47682	47670.1
348.92	47644	47631.9
349.44	47852	47840.9
349.97	47978	47967.6
350.49	47918	47907.2
351.01	47803	47791.7
351.53	47773	47761.5
352.05	47873	47862.0
352.57	47523	47510.4
353.09	47492	47479.3
353.61	47738	47726.3
354.13	47461	47448.1
354.65	47494	47481.3
355.17	47744	47732.4
355.69	47880	47869.0
356.22	47846	47834.9
356.74	47740	47728.4
357.25	47841	47829.8
357.77	47779	47767.5
358.29	47695	47683.1
358.81	47627	47614.8
359.33	47593	47580.7
359.85	47554	47541.5
360.37	47676	47664.1
360.89	47582	47569.6
361.41	47693	47681.1
361.93	47928	47917.3
362.45	47987	47976.6
362.97	48121	48111.3
363.48	47944	47933.4
364.00	47832	47820.8
364.52	47735	47723.3
365.04	47564	47551.6
365.56	47751	47739.4
366.08	47654	47642.0
366.59	47789	47777.6
367.11	47693	47681.1
367.63	47971	47960.5
368.15	48151	48141.5
368.66	47997	47986.7
369.18	47935	47924.3
369.70	47876	47865.0
370.21	48124	48114.4
370.73	47969	47958.5
371.25	47777	47765.5
371.76	47726	47714.3
372.28	47789	47777.6
372.80	47676	47664.1
373.31	47858	47846.9
373.83	48054	48044.0
374.35	48078	48068.1
374.86	48192	48182.8
375.38	48355	48346.7
375.89	48049	48038.9
376.41	48409	48401.1
376.92	48042	48031.9
377.44	47911	47900.2
377.95	48017	48006.8
378.47	48311	48302.5
378.98	48167	48157.6
379.50	48196	48186.8
380.01	48220	48210.9
380.53	48440	48432.3
381.04	48519	48511.8
381.56	48522	48514.8
382.07	48412	48404.1
382.59	48098	48088.2
383.10	48123	48113.4
383.61	48174	48164.7
384.13	47999	47988.7
384.64	48146	48136.5
385.16	48174	48164.7
385.67	48120	48110.3
386.18	48467	48459.5
386.70	48511	48503.7
387.21	48533	48525.9
387.72	48385	48376.9
388.23	48266	48257.2
388.75	48452	48444.4
389.26	48204	48194.8
389.77	48371	48362.8
390.29	48364	48355.8
390.80	48509	48501.7
391.31	48544	48537.0
391.82	48734	48728.3
392.33	48738	48732.3
392.85	48764	48758.5
393.36	48945	48940.8
393.87	48948	48943.9
394.38	48870	48865.3
394.89	48833	48828.0
395.40	48789	48783.7
395.91	48935	48930.8
396.43	48952	48947.9
396.94	49088	49084.9
397.45	49163	49160.5
397.96	49306	49304.7
398.47	49444	49443.9
398.98	49584	49585.1
399.49	49659	49660.7
400.00	49695	49697.1
400.51	49763	49765.7
401.02	49817	49820.2
401.53	49711	49713.2
402.04	49875	49878.7
402.55	49675	49676.9
403.06	49937	49941.3
403.57	50223	50230.1
404.08	50249	50256.3
404.59	50305	50312.9
405.10	50285	50292.7
405.61	50363	50371.5
406.11	50397	50405.8
406.62	50269	50276.5
407.13	50353	50361.4
407.64	50297	50304.8
408.15	50386	50394.7
408.66	50585	50595.8
409.16	50919	50933.4
409.67	50951	50965.7
410.18	50914	50928.3
410.69	51501	51522.0
411.20	51269	51287.3
411.70	51511	51532.1
412.21	51251	51269.1
412.72	51268	51286.3
413.23	51624	51646.4
413.73	51493	51513.9
414.24	51437	51457.2
414.75	51614	51636.3
415.25	51986	52012.8
415.76	52178	52207.2
416.27	52709	52744.9
416.77	52510	52543.4
417.28	53016	53056.0
417.79	53056	53096.5
418.29	53290	53333.6
418.80	53552	53599.1
419.30	53890	53941.8
419.81	54077	54131.3
420.32	54465	54524.7
420.82	54973	55039.9
421.33	55393	55465.9
421.83	55847	55926.5
422.34	56356	56442.8
422.84	57063	57160.1
423.35	57469	57572.0
423.85	58566	58684.8
424.36	59153	59280.2
424.86	60257	60399.9
425.37	61048	61201.9
425.87	62282	62452.9
426.38	63790	63981.2
426.88	65470	65683.4
427.38	65535	65749.3
427.89	65535	65749.3
428.39	65535	65749.3
428.90	65535	65749.3
429.40	65535	65749.3
429.90	65535	65749.3
430.41	65535	65749.3
430.91	65535	65749.3
431.41	65535	65749.3
431.92	65535	65749.3
432.42	65535	65749.3
432.92	65535	65749.3
433.42	65535	65749.3
433.93	65535	65749.3
434.43	65535	65749.3
434.93	65535	65749.3
435.43	65535	65749.3
435.94	65535	65749.3
436.44	65535	65749.3
436.94	65535	65749.3
437.44	65535	65749.3
437.94	65535	65749.3
438.44	65535	65749.3
438.95	65535	65749.3
439.45	65535	65749.3
439.95	65535	65749.3
440.45	65535	65749.3
440.95	65535	65749.3
441.45	65535	65749.3
441.95	65535	65749.3
442.45	65535	65749.3
442.95	65535	65749.3
443.45	65535	65749.3
443.95	65535	65749.3
444.45	65535	65749.3
444.95	65535	65749.3
445.45	65535	65749.3
445.95	65535	65749.3
446.45	65535	65749.3
446.95	65535	65749.3
447.45	65535	65749.3
447.95	65535	65749.3
448.45	65535	65749.3
448.95	65535	65749.3
449.45	65535	65749.3
449.95	65535	65749.3
450.45	65535	65749.3
450.95	65535	65749.3
451.45	65535	65749.3
451.94	65535	65749.3
452.44	65535	65749.3
452.94	65535	65749.3
453.44	65535	65749.3
453.94	65535	65749.3
454.44	65535	65749.3
454.93	65535	65749.3
455.43	65535	65749.3
455.93	65535	65749.3
456.43	65535	65749.3
456.92	65535	65749.3
457.42	65535	65749.3
457.92	65535	65749.3
458.42	65535	65749.3
458.91	65535	65749.3
459.41	65535	65749.3
459.91	65535	65749.3
460.40	65535	65749.3
460.90	65535	65749.3
461.40	65535	65749.3
461.89	65535	65749.3
462.39	65535	65749.3
462.88	65535	65749.3
463.38	65535	65749.3
463.88	65535	65749.3
464.37	65535	65749.3
464.87	65535	65749.3
465.36	65535	65749.3
465.86	65535	65749.3
466.35	65535	65749.3
466.85	65535	65749.3
467.34	65535	65749.3
467.84	65535	65749.3
468.33	65535	65749.3
468.83	65535	65749.3
469.32	65535	65749.3
469.82	65535	65749.3
470.31	65535	65749.3
470.81	65535	65749.3
471.30	65535	65749.3
471.79	65535	65749.3
472.29	65535	65749.3
472.78	65535	65749.3
473.27	65535	65749.3
473.77	65535	65749.3
474.26	65535	65749.3
474.76	65535	65749.3
475.25	65535	65749.3
475.74	65535	65749.3
476.23	65535	65749.3
476.73	65535	65749.3
477.22	65535	65749.3
477.71	65535	65749.3
478.21	65535	65749.3
478.70	65535	65749.3
479.19	65535	65749.3
479.68	65535	65749.3
480.18	65535	65749.3
480.67	64068	64262.9
481.16	62108	62276.5
481.65	60799	60949.5
482.14	59841	59978.0
482.63	59076	59202.1
483.13	58463	58580.3
483.62	57789	57896.6
484.11	57340	57441.1
484.60	56551	56640.6
485.09	55702	55779.4
485.58	55239	55309.7
486.07	54542	54602.8
486.56	54563	54624.1
487.05	53989	54042.1
487.54	53770	53820.1
488.03	53020	53060.0
488.52	52440	52472.5
489.01	51821	51845.8
489.50	51173	51190.2
489.99	50714	50726.2
490.48	50504	50513.9
490.97	50191	50197.8
491.46	49998	50002.9
491.95	49705	49707.2
492.44	49564	49564.9
492.93	49478	49478.2
493.42	49222	49220.0
493.91	49034	49030.5
494.40	48746	48740.4
494.89	48621	48614.5
495.38	48260	48251.2
495.86	48214	48204.9
496.35	47788	47776.6
496.84	47898	47887.1
497.33	47636	47623.9
497.82	47399	47385.9
498.31	47404	47390.9
498.79	47244	47230.3
499.28	47102	47087.9
499.77	46863	46848.3
500.26	46798	46783.1
500.74	46405	46389.5
501.23	46197	46181.4
501.72	46090	46074.4
502.21	45910	45894.5
502.69	45825	45809.6
503.18	45800	45784.6
503.67	45707	45691.7
504.15	45764	45748.7
504.64	45455	45440.2
505.13	45651	45635.8
505.61	45340	45325.5
506.10	45502	45487.1
506.59	45533	45518.0
507.07	45273	45258.7
507.56	44685	44673.2
508.04	45101	45087.3
508.53	44803	44790.6
509.01	44745	44732.9
