# 20200701_095915_Spectrum_A100-I6.csv
Wavelength (nm)	Intensity	Corrected
Unusable	2244
Dark	1942
Dark	1970
Dark	1966
Bevel	2000
Bevel	1995
Bevel	1996
Bevel	2000
Bevel	1997
Bevel	2003
436.20	6878	6874.8
436.54	2559	2557.3
436.88	2217	2216.3
437.22	2144	2143.5
437.56	2120	2119.6
437.89	2102	2101.7
438.23	2094	2093.7
438.57	2090	2089.7
438.91	2090	2089.7
439.25	2089	2088.7
439.58	2092	2091.7
439.92	2101	2100.7
440.26	2101	2100.7
440.60	2101	2100.7
440.94	2100	2099.7
441.27	2112	2111.6
441.61	2113	2112.6
441.95	2100	2099.7
442.28	2090	2089.7
442.62	2092	2091.7
442.96	2086	2085.7
443.30	2087	2086.7
443.63	2085	2084.7
443.97	2087	2086.7
444.31	2092	2091.7
444.64	2089	2088.7
444.98	2089	2088.7
445.32	2088	2087.7
445.65	2091	2090.7
445.99	2088	2087.7
446.33	2085	2084.7
446.66	2090	2089.7
447.00	2093	2092.7
447.33	2093	2092.7
447.67	2092	2091.7
448.01	2090	2089.7
448.34	2085	2084.7
448.68	2076	2075.7
449.01	2073	2072.8
449.35	2069	2068.8
449.68	2067	2066.8
450.02	2074	2073.7
450.35	2070	2069.8
450.69	2083	2082.7
451.02	2078	2077.7
451.36	2068	2067.8
451.69	2059	2058.8
452.03	2065	2064.8
452.36	2063	2062.8
452.70	2067	2066.8
453.03	2065	2064.8
453.37	2062	2061.8
453.70	2064	2063.8
454.04	2069	2068.8
454.37	2071	2070.8
454.70	2067	2066.8
455.04	2057	2056.8
455.37	2054	2053.8
455.71	2046	2045.8
456.04	2041	2040.9
456.37	2035	2034.9
456.71	2034	2033.9
457.04	2030	2029.9
457.37	2028	2027.9
457.71	2028	2027.9
458.04	2033	2032.9
458.37	2032	2031.9
458.71	2035	2034.9
459.04	2033	2032.9
459.37	2032	2031.9
459.71	2034	2033.9
460.04	2028	2027.9
460.37	2030	2029.9
460.70	2036	2035.9
461.04	2031	2030.9
461.37	2029	2028.9
461.70	2026	2025.9
462.03	2030	2029.9
462.37	2029	2028.9
462.70	2026	2025.9
463.03	2025	2024.9
463.36	2028	2027.9
463.69	2025	2024.9
464.03	2024	2023.9
464.36	2024	2023.9
464.69	2026	2025.9
465.02	2031	2030.9
465.35	2036	2035.9
465.68	2032	2031.9
466.02	2021	2020.9
466.35	2023	2022.9
466.68	2021	2020.9
467.01	2027	2026.9
467.34	2024	2023.9
467.67	2025	2024.9
468.00	2020	2019.9
468.33	2022	2021.9
468.66	2023	2022.9
468.99	2017	2016.9
469.32	2022	2021.9
469.65	2023	2022.9
469.98	2026	2025.9
470.32	2028	2027.9
470.65	2024	2023.9
470.98	2022	2021.9
471.31	2019	2018.9
471.64	2024	2023.9
471.97	2023	2022.9
472.29	2024	2023.9
472.62	2027	2026.9
472.95	2029	2028.9
473.28	2023	2022.9
473.61	2023	2022.9
473.94	2023	2022.9
474.27	2022	2021.9
474.60	2019	2018.9
474.93	2021	2020.9
475.26	2017	2016.9
475.59	2020	2019.9
475.92	2027	2026.9
476.25	2034	2033.9
476.57	2031	2030.9
476.90	2021	2020.9
477.23	2017	2016.9
477.56	2019	2018.9
477.89	2016	2015.9
478.22	2015	2014.9
478.54	2016	2015.9
478.87	2018	2017.9
479.20	2019	2018.9
479.53	2019	2018.9
479.86	2017	2016.9
480.18	2020	2019.9
480.51	2024	2023.9
480.84	2015	2014.9
481.17	2014	2013.9
481.49	2014	2013.9
481.82	2016	2015.9
482.15	2016	2015.9
482.48	2015	2014.9
482.80	2013	2013.0
483.13	2017	2016.9
483.46	2020	2019.9
483.78	2018	2017.9
484.11	2013	2013.0
484.44	2017	2016.9
484.76	2017	2016.9
485.09	2017	2016.9
485.42	2015	2014.9
485.74	2014	2013.9
486.07	2022	2021.9
486.40	2016	2015.9
486.72	2015	2014.9
487.05	2015	2014.9
487.37	2022	2021.9
487.70	2020	2019.9
488.03	2018	2017.9
488.35	2016	2015.9
488.68	2011	2011.0
489.00	2013	2013.0
489.33	2011	2011.0
489.65	2020	2019.9
489.98	2015	2014.9
490.30	2023	2022.9
490.63	2028	2027.9
490.95	2042	2041.9
491.28	2068	2067.8
491.60	2075	2074.7
491.93	2034	2033.9
492.25	2012	2012.0
492.58	2012	2012.0
492.90	2016	2015.9
493.23	2019	2018.9
493.55	2012	2012.0
493.88	2007	2007.0
494.20	2011	2011.0
494.53	2005	2005.0
494.85	2009	2009.0
495.17	2011	2011.0
495.50	2009	2009.0
495.82	2011	2011.0
496.14	2015	2014.9
496.47	2017	2016.9
496.79	2013	2013.0
497.12	2010	2010.0
497.44	2011	2011.0
497.76	2009	2009.0
498.09	2014	2013.9
498.41	2010	2010.0
498.73	2010	2010.0
499.05	2011	2011.0
499.38	2006	2006.0
499.70	2006	2006.0
500.02	2015	2014.9
500.35	2014	2013.9
500.67	2011	2011.0
500.99	2014	2013.9
501.31	2015	2014.9
501.64	2013	2013.0
501.96	2015	2014.9
502.28	2016	2015.9
502.60	2013	2013.0
502.93	2011	2011.0
503.25	2009	2009.0
503.57	2007	2007.0
503.89	2014	2013.9
504.21	2009	2009.0
504.53	2008	2008.0
504.86	2010	2010.0
505.18	2008	2008.0
505.50	2009	2009.0
505.82	2013	2013.0
506.14	2010	2010.0
506.46	2009	2009.0
506.78	2009	2009.0
507.10	2009	2009.0
507.43	2006	2006.0
507.75	2004	2004.0
508.07	2011	2011.0
508.39	2009	2009.0
508.71	2008	2008.0
509.03	2009	2009.0
509.35	2005	2005.0
509.67	2007	2007.0
509.99	2013	2013.0
510.31	2008	2008.0
510.63	2005	2005.0
510.95	2010	2010.0
511.27	2009	2009.0
511.59	2010	2010.0
511.91	2009	2009.0
512.23	2001	2001.0
512.55	2013	2013.0
512.87	2007	2007.0
513.19	2008	2008.0
513.51	2012	2012.0
513.83	2011	2011.0
514.15	2010	2010.0
514.47	2009	2009.0
514.78	2007	2007.0
515.10	2010	2010.0
515.42	2010	2010.0
515.74	2006	2006.0
516.06	2011	2011.0
516.38	2010	2010.0
516.70	2010	2010.0
517.02	2009	2009.0
517.33	2008	2008.0
517.65	2006	2006.0
517.97	2010	2010.0
518.29	2009	2009.0
518.61	2009	2009.0
518.93	2009	2009.0
519.24	2005	2005.0
519.56	2003	2003.0
519.88	2007	2007.0
520.20	2006	2006.0
520.51	2005	2005.0
520.83	2008	2008.0
521.15	2010	2010.0
521.47	2011	2011.0
521.78	2009	2009.0
522.10	2010	2010.0
522.42	2010	2010.0
522.74	2008	2008.0
523.05	2005	2005.0
523.37	2011	2011.0
523.69	2009	2009.0
524.00	2006	2006.0
524.32	2007	2007.0
524.64	2008	2008.0
524.95	2009	2009.0
525.27	2007	2007.0
525.59	2006	2006.0
525.90	2008	2008.0
526.22	2008	2008.0
526.53	2007	2007.0
526.85	2010	2010.0
527.17	2007	2007.0
527.48	2013	2013.0
527.80	2010	2010.0
528.11	2012	2012.0
528.43	2011	2011.0
528.74	2006	2006.0
529.06	2010	2010.0
529.38	2011	2011.0
529.69	2010	2010.0
530.01	2009	2009.0
530.32	2009	2009.0
530.64	2008	2008.0
530.95	2010	2010.0
531.27	2009	2009.0
531.58	2010	2010.0
531.90	2011	2011.0
532.21	2008	2008.0
532.53	2008	2008.0
532.84	2010	2010.0
533.15	2013	2013.0
533.47	2009	2009.0
533.78	2010	2010.0
534.10	2010	2010.0
534.41	2016	2015.9
534.73	2012	2012.0
535.04	2011	2011.0
535.35	2014	2013.9
535.67	2012	2012.0
535.98	2017	2016.9
536.29	2009	2009.0
536.61	2016	2015.9
536.92	2016	2015.9
537.23	2014	2013.9
537.55	2015	2014.9
537.86	2016	2015.9
538.17	2016	2015.9
538.49	2012	2012.0
538.80	2015	2014.9
539.11	2019	2018.9
539.43	2024	2023.9
539.74	2013	2013.0
540.05	2020	2019.9
540.36	2022	2021.9
540.68	2021	2020.9
540.99	2030	2029.9
541.30	2028	2027.9
541.61	2027	2026.9
541.93	2029	2028.9
542.24	2037	2036.9
542.55	2039	2038.9
542.86	2048	2047.8
543.17	2065	2064.8
543.49	2108	2107.6
543.80	2210	2209.3
544.11	2465	2463.5
544.42	3288	3284.6
544.73	5482	5477.1
545.04	8532	8533.1
545.36	12134	12150.7
545.67	17343	17390.8
545.98	26717	26832.3
546.29	29613	29753.6
546.60	8013	8012.5
546.91	2704	2701.9
547.22	2180	2179.4
547.53	2099	2098.7
547.84	2070	2069.8
548.15	2053	2052.8
548.47	2049	2048.8
548.78	2053	2052.8
549.09	2044	2043.8
549.40	2042	2041.9
549.71	2048	2047.8
550.02	2048	2047.8
550.33	2052	2051.8
550.64	2074	2073.7
550.95	2089	2088.7
551.26	2077	2076.7
551.57	2049	2048.8
551.88	2045	2044.8
552.19	2045	2044.8
552.50	2048	2047.8
552.81	2060	2059.8
553.11	2067	2066.8
553.42	2071	2070.8
553.73	2075	2074.7
554.04	2078	2077.7
554.35	2076	2075.7
554.66	2081	2080.7
554.97	2082	2081.7
555.28	2091	2090.7
555.59	2087	2086.7
555.90	2090	2089.7
556.20	2088	2087.7
556.51	2092	2091.7
556.82	2085	2084.7
557.13	2083	2082.7
557.44	2075	2074.7
557.75	2061	2060.8
558.05	2053	2052.8
558.36	2051	2050.8
558.67	2053	2052.8
558.98	2051	2050.8
559.29	2054	2053.8
559.59	2058	2057.8
559.90	2057	2056.8
560.21	2057	2056.8
560.52	2059	2058.8
560.82	2061	2060.8
561.13	2052	2051.8
561.44	2054	2053.8
561.75	2053	2052.8
562.05	2058	2057.8
562.36	2047	2046.8
562.67	2049	2048.8
562.97	2047	2046.8
563.28	2047	2046.8
563.59	2041	2040.9
563.89	2038	2037.9
564.20	2034	2033.9
564.51	2023	2022.9
564.81	2015	2014.9
565.12	2016	2015.9
565.43	2016	2015.9
565.73	2013	2013.0
566.04	2010	2010.0
566.35	2015	2014.9
566.65	2011	2011.0
566.96	2018	2017.9
567.26	2011	2011.0
567.57	2014	2013.9
567.87	2016	2015.9
568.18	2015	2014.9
568.49	2018	2017.9
568.79	2013	2013.0
569.10	2012	2012.0
569.40	2012	2012.0
569.71	2015	2014.9
570.01	2011	2011.0
570.32	2013	2013.0
570.62	2014	2013.9
570.93	2013	2013.0
571.23	2015	2014.9
571.54	2010	2010.0
571.84	2012	2012.0
572.15	2012	2012.0
572.45	2009	2009.0
572.75	2016	2015.9
573.06	2017	2016.9
573.36	2018	2017.9
573.67	2013	2013.0
573.97	2018	2017.9
574.28	2023	2022.9
574.58	2029	2028.9
574.88	2051	2050.8
575.19	2102	2101.7
575.49	2266	2265.1
575.79	2616	2614.1
576.10	3021	3018.1
576.40	3504	3500.2
576.71	4206	4201.3
577.01	5863	5858.4
577.31	4938	4933.0
577.62	2730	2727.8
577.92	2749	2746.8
578.22	3106	3103.0
578.52	3602	3598.0
578.83	4344	4339.2
579.13	6094	6089.6
579.43	4817	4812.0
579.74	2452	2450.6
580.04	2114	2113.6
580.34	2050	2049.8
580.64	2038	2037.9
580.95	2033	2032.9
581.25	2026	2025.9
581.55	2026	2025.9
581.85	2026	2025.9
582.15	2026	2025.9
582.46	2022	2021.9
582.76	2019	2018.9
583.06	2020	2019.9
583.36	2022	2021.9
583.66	2019	2018.9
583.96	2029	2028.9
584.27	2026	2025.9
584.57	2027	2026.9
584.87	2023	2022.9
585.17	2025	2024.9
585.47	2027	2026.9
585.77	2026	2025.9
586.07	2031	2030.9
586.37	2037	2036.9
586.68	2035	2034.9
586.98	2032	2031.9
587.28	2031	2030.9
587.58	2031	2030.9
587.88	2032	2031.9
588.18	2028	2027.9
588.48	2035	2034.9
588.78	2031	2030.9
589.08	2032	2031.9
589.38	2030	2029.9
589.68	2023	2022.9
589.98	2033	2032.9
590.28	2025	2024.9
590.58	2029	2028.9
590.88	2027	2026.9
591.18	2029	2028.9
591.48	2033	2032.9
