# 20200701_101259_Spectrum_A100-I6.csv example_data/hyperchromator_600nm.dat
Wavelength (nm)	Intensity	Corrected
Unusable	2251
Dark	1949
Dark	1978
Dark	1973
Bevel	2007
Bevel	2002
Bevel	1998
Bevel	2000
Bevel	1997
Bevel	2002
435.86	2016	2015.9
436.20	2011	2011.0
436.54	2013	2012.9
436.88	2015	2014.9
437.22	2010	2010.0
437.56	2011	2011.0
437.89	2010	2010.0
438.23	2014	2013.9
438.57	2016	2015.9
438.91	2012	2012.0
439.25	2010	2010.0
439.58	2008	2008.0
439.92	2012	2012.0
440.26	2013	2012.9
440.60	2012	2012.0
440.94	2011	2011.0
441.27	2013	2012.9
441.61	2013	2012.9
441.95	2016	2015.9
442.28	2015	2014.9
442.62	2016	2015.9
442.96	2014	2013.9
443.30	2016	2015.9
443.63	2014	2013.9
443.97	2012	2012.0
444.31	2014	2013.9
444.64	2013	2012.9
444.98	2015	2014.9
445.32	2010	2010.0
445.65	2011	2011.0
445.99	2013	2012.9
446.33	2013	2012.9
446.66	2016	2015.9
447.00	2017	2016.9
447.33	2014	2013.9
447.67	2014	2013.9
448.01	2015	2014.9
448.34	2014	2013.9
448.68	2013	2012.9
449.01	2016	2015.9
449.35	2014	2013.9
449.68	2013	2012.9
450.02	2019	2018.9
450.35	2015	2014.9
450.69	2016	2015.9
451.02	2010	2010.0
451.36	2013	2012.9
451.69	2013	2012.9
452.03	2014	2013.9
452.36	2014	2013.9
452.70	2017	2016.9
453.03	2017	2016.9
453.37	2015	2014.9
453.70	2012	2012.0
454.04	2015	2014.9
454.37	2016	2015.9
454.70	2021	2020.9
455.04	2016	2015.9
455.37	2019	2018.9
455.71	2018	2017.9
456.04	2021	2020.9
456.37	2018	2017.9
456.71	2021	2020.9
457.04	2015	2014.9
457.37	2013	2012.9
457.71	2012	2012.0
458.04	2017	2016.9
458.37	2019	2018.9
458.71	2018	2017.9
459.04	2016	2015.9
459.37	2017	2016.9
459.71	2020	2019.9
460.04	2016	2015.9
460.37	2017	2016.9
460.70	2019	2018.9
461.04	2018	2017.9
461.37	2020	2019.9
461.70	2017	2016.9
462.03	2021	2020.9
462.37	2020	2019.9
462.70	2019	2018.9
463.03	2016	2015.9
463.36	2021	2020.9
463.69	2016	2015.9
464.03	2017	2016.9
464.36	2018	2017.9
464.69	2017	2016.9
465.02	2020	2019.9
465.35	2025	2024.9
465.68	2017	2016.9
466.02	2012	2012.0
466.35	2016	2015.9
466.68	2014	2013.9
467.01	2023	2022.9
467.34	2018	2017.9
467.67	2018	2017.9
468.00	2014	2013.9
468.33	2017	2016.9
468.66	2019	2018.9
468.99	2012	2012.0
469.32	2018	2017.9
469.65	2017	2016.9
469.98	2018	2017.9
470.32	2021	2020.9
470.65	2019	2018.9
470.98	2016	2015.9
471.31	2015	2014.9
471.64	2019	2018.9
471.97	2016	2015.9
